image,NV,MEL,BKL,BCC,AKIEC
ISIC_0024306,1.0,0.0,0.0,0.0,0.0
ISIC_0024307,1.0,0.0,0.0,0.0,0.0
ISIC_0024308,1.0,0.0,0.0,0.0,0.0
ISIC_0024309,1.0,0.0,0.0,0.0,0.0
ISIC_0024310,0.0,1.0,0.0,0.0,0.0
ISIC_0024311,1.0,0.0,0.0,0.0,0.0
ISIC_0024312,0.0,0.0,1.0,0.0,0.0
ISIC_0024313,0.0,1.0,0.0,0.0,0.0
ISIC_0024314,1.0,0.0,0.0,0.0,0.0
ISIC_0024315,0.0,1.0,0.0,0.0,0.0
ISIC_0024316,1.0,0.0,0.0,0.0,0.0
ISIC_0024317,1.0,0.0,0.0,0.0,0.0
ISIC_0024319,1.0,0.0,0.0,0.0,0.0
ISIC_0024320,1.0,0.0,0.0,0.0,0.0
ISIC_0024321,1.0,0.0,0.0,0.0,0.0
ISIC_0024322,1.0,0.0,0.0,0.0,0.0
ISIC_0024323,0.0,1.0,0.0,0.0,0.0
ISIC_0024324,0.0,0.0,1.0,0.0,0.0
ISIC_0024325,1.0,0.0,0.0,0.0,0.0
ISIC_0024326,1.0,0.0,0.0,0.0,0.0
ISIC_0024327,1.0,0.0,0.0,0.0,0.0
ISIC_0024328,1.0,0.0,0.0,0.0,0.0
ISIC_0024329,0.0,0.0,0.0,0.0,1.0
ISIC_0024331,0.0,0.0,0.0,1.0,0.0
ISIC_0024332,0.0,0.0,0.0,1.0,0.0
ISIC_0024333,0.0,1.0,0.0,0.0,0.0
ISIC_0024334,1.0,0.0,0.0,0.0,0.0
ISIC_0024335,1.0,0.0,0.0,0.0,0.0
ISIC_0024336,0.0,0.0,1.0,0.0,0.0
ISIC_0024337,0.0,0.0,1.0,0.0,0.0
ISIC_0024338,0.0,0.0,1.0,0.0,0.0
ISIC_0024339,1.0,0.0,0.0,0.0,0.0
ISIC_0024340,1.0,0.0,0.0,0.0,0.0
ISIC_0024341,1.0,0.0,0.0,0.0,0.0
ISIC_0024342,1.0,0.0,0.0,0.0,0.0
ISIC_0024343,1.0,0.0,0.0,0.0,0.0
ISIC_0024344,1.0,0.0,0.0,0.0,0.0
ISIC_0024345,0.0,0.0,0.0,1.0,0.0
ISIC_0024346,1.0,0.0,0.0,0.0,0.0
ISIC_0024347,1.0,0.0,0.0,0.0,0.0
ISIC_0024348,1.0,0.0,0.0,0.0,0.0
ISIC_0024349,1.0,0.0,0.0,0.0,0.0
ISIC_0024350,1.0,0.0,0.0,0.0,0.0
ISIC_0024351,0.0,1.0,0.0,0.0,0.0
ISIC_0024352,1.0,0.0,0.0,0.0,0.0
ISIC_0024353,1.0,0.0,0.0,0.0,0.0
ISIC_0024354,1.0,0.0,0.0,0.0,0.0
ISIC_0024355,1.0,0.0,0.0,0.0,0.0
ISIC_0024356,1.0,0.0,0.0,0.0,0.0
ISIC_0024357,1.0,0.0,0.0,0.0,0.0
ISIC_0024358,0.0,0.0,1.0,0.0,0.0
ISIC_0024359,1.0,0.0,0.0,0.0,0.0
ISIC_0024360,0.0,0.0,0.0,1.0,0.0
ISIC_0024361,1.0,0.0,0.0,0.0,0.0
ISIC_0024362,1.0,0.0,0.0,0.0,0.0
ISIC_0024363,1.0,0.0,0.0,0.0,0.0
ISIC_0024364,1.0,0.0,0.0,0.0,0.0
ISIC_0024365,1.0,0.0,0.0,0.0,0.0
ISIC_0024366,1.0,0.0,0.0,0.0,0.0
ISIC_0024367,0.0,1.0,0.0,0.0,0.0
ISIC_0024368,1.0,0.0,0.0,0.0,0.0
ISIC_0024369,1.0,0.0,0.0,0.0,0.0
ISIC_0024371,0.0,0.0,1.0,0.0,0.0
ISIC_0024372,0.0,0.0,0.0,0.0,1.0
ISIC_0024373,1.0,0.0,0.0,0.0,0.0
ISIC_0024374,1.0,0.0,0.0,0.0,0.0
ISIC_0024376,1.0,0.0,0.0,0.0,0.0
ISIC_0024377,1.0,0.0,0.0,0.0,0.0
ISIC_0024378,1.0,0.0,0.0,0.0,0.0
ISIC_0024379,1.0,0.0,0.0,0.0,0.0
ISIC_0024380,1.0,0.0,0.0,0.0,0.0
ISIC_0024381,0.0,0.0,1.0,0.0,0.0
ISIC_0024382,0.0,0.0,1.0,0.0,0.0
ISIC_0024383,0.0,0.0,1.0,0.0,0.0
ISIC_0024384,1.0,0.0,0.0,0.0,0.0
ISIC_0024385,1.0,0.0,0.0,0.0,0.0
ISIC_0024387,1.0,0.0,0.0,0.0,0.0
ISIC_0024388,1.0,0.0,0.0,0.0,0.0
ISIC_0024389,1.0,0.0,0.0,0.0,0.0
ISIC_0024390,1.0,0.0,0.0,0.0,0.0
ISIC_0024391,1.0,0.0,0.0,0.0,0.0
ISIC_0024392,1.0,0.0,0.0,0.0,0.0
ISIC_0024393,1.0,0.0,0.0,0.0,0.0
ISIC_0024394,1.0,0.0,0.0,0.0,0.0
ISIC_0024395,1.0,0.0,0.0,0.0,0.0
ISIC_0024397,1.0,0.0,0.0,0.0,0.0
ISIC_0024398,1.0,0.0,0.0,0.0,0.0
ISIC_0024399,1.0,0.0,0.0,0.0,0.0
ISIC_0024400,0.0,1.0,0.0,0.0,0.0
ISIC_0024401,1.0,0.0,0.0,0.0,0.0
ISIC_0024403,0.0,0.0,0.0,1.0,0.0
ISIC_0024404,1.0,0.0,0.0,0.0,0.0
ISIC_0024405,1.0,0.0,0.0,0.0,0.0
ISIC_0024406,1.0,0.0,0.0,0.0,0.0
ISIC_0024407,1.0,0.0,0.0,0.0,0.0
ISIC_0024408,0.0,0.0,1.0,0.0,0.0
ISIC_0024409,0.0,0.0,1.0,0.0,0.0
ISIC_0024410,0.0,1.0,0.0,0.0,0.0
ISIC_0024411,0.0,0.0,0.0,1.0,0.0
ISIC_0024412,0.0,0.0,1.0,0.0,0.0
ISIC_0024413,1.0,0.0,0.0,0.0,0.0
ISIC_0024414,1.0,0.0,0.0,0.0,0.0
ISIC_0024415,1.0,0.0,0.0,0.0,0.0
ISIC_0024416,1.0,0.0,0.0,0.0,0.0
ISIC_0024417,1.0,0.0,0.0,0.0,0.0
ISIC_0024418,0.0,0.0,0.0,0.0,1.0
ISIC_0024419,1.0,0.0,0.0,0.0,0.0
ISIC_0024420,0.0,0.0,1.0,0.0,0.0
ISIC_0024421,1.0,0.0,0.0,0.0,0.0
ISIC_0024422,0.0,0.0,1.0,0.0,0.0
ISIC_0024423,1.0,0.0,0.0,0.0,0.0
ISIC_0024424,1.0,0.0,0.0,0.0,0.0
ISIC_0024425,1.0,0.0,0.0,0.0,0.0
ISIC_0024426,0.0,0.0,1.0,0.0,0.0
ISIC_0024427,1.0,0.0,0.0,0.0,0.0
ISIC_0024428,1.0,0.0,0.0,0.0,0.0
ISIC_0024429,1.0,0.0,0.0,0.0,0.0
ISIC_0024430,1.0,0.0,0.0,0.0,0.0
